📡电视-联通网,#genre#
河北卫视,http://home2.neumantang.com:8888/udp/239.0.0.55:5140
海南卫视,http://113.195.44.106:9901/tsfile/live/1013_1.m3u8#http://home2.neumantang.com:8888/udp/239.0.0.100:5140
辽宁卫视,http://113.195.44.106:9901/tsfile/live/1014_1.m3u8#http://58.19.38.162:9901/tsfile/live/0121_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.56:5140
吉林卫视,http://113.195.44.106:9901/tsfile/live/1015_1.m3u8
四川卫视,http://113.195.44.106:9901/tsfile/live/1016_1.m3u8#http://58.19.38.162:9901/tsfile/live/0123_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.1:5140
山西卫视,http://113.195.44.106:9901/tsfile/live/1017_1.m3u8#http://home2.neumantang.com:8888/udp/239.0.0.78:5140
东南卫视,http://113.195.44.106:9901/tsfile/live/1018_1.m3u8#http://58.19.38.162:9901/tsfile/live/0137_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.62:5140
河南卫视,http://113.195.44.106:9901/tsfile/live/1019_1.m3u8#http://58.19.38.162:9901/tsfile/live/0139_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.182:5140
广西卫视,http://113.195.44.106:9901/tsfile/live/1056_1.m3u8#http://home2.neumantang.com:8888/udp/239.0.0.185:5140
河北卫视,http://113.195.44.106:9901/tsfile/live/1021_1.m3u8
黑龙江卫视,http://113.195.44.106:9901/tsfile/live/1022_1.m3u8#http://home2.neumantang.com:8888/udp/239.0.0.57:5140
青海卫视,http://113.195.44.106:9901/tsfile/live/1023_1.m3u8#http://home2.neumantang.com:8888/udp/239.0.0.108:5140#http://home2.neumantang.com:8888/udp/239.0.0.108:5140
云南卫视,http://113.195.44.106:9901/tsfile/live/1024_1.m3u8#http://58.19.38.162:9901/tsfile/live/0119_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.103:5140
陕西卫视,http://113.195.44.106:9901/tsfile/live/1025_1.m3u8#http://home2.neumantang.com:8888/udp/239.0.0.106:5140
甘肃卫视,http://113.195.44.106:9901/tsfile/live/1026_1.m3u8#http://home2.neumantang.com:8888/udp/239.0.0.192:5140
宁夏卫视,http://113.195.44.106:9901/tsfile/live/1027_1.m3u8#http://home2.neumantang.com:8888/udp/239.0.0.110:5140
内蒙古卫视,http://113.195.44.106:9901/tsfile/live/1029_1.m3u8#http://home2.neumantang.com:8888/udp/239.0.0.79:5140
西藏卫视,http://113.195.44.106:9901/tsfile/live/1030_1.m3u8#http://58.19.38.162:9901/tsfile/live/0111_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.104:5140
贵州卫视,http://113.195.44.106:9901/tsfile/live/1031_1.m3u8#http://58.19.38.162:9901/tsfile/live/0120_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.64:5140
兵团卫视,http://113.195.44.106:9901/tsfile/live/1032_1.m3u8#http://home2.neumantang.com:8888/udp/239.0.0.183:5140
风云剧场,http://113.195.44.106:9901/tsfile/live/1037_1.m3u8
第一剧场,http://113.195.44.106:9901/tsfile/live/1028_1.m3u8
CHC影院,http://113.195.44.106:9901/tsfile/live/1046_1.m3u8
CHC电影,http://113.195.44.106:9901/tsfile/live/1047_1.m3u8
CHC高清,http://113.195.44.106:9901/tsfile/live/1039_1.m3u8
先锋乒羽,http://113.195.44.106:9901/tsfile/live/1071_1.m3u8
风云足球,http://113.195.44.106:9901/tsfile/live/1049_1.m3u8
快乐垂钓,http://113.195.44.106:9901/tsfile/live/1042_1.m3u8
女性时尚,http://113.195.44.106:9901/tsfile/live/1054_1.m3u8
世界地理,http://113.195.44.106:9901/tsfile/live/1053_1.m3u8
测试9,http://113.195.44.106:9901/tsfile/live/1076_1.m3u8
中国教育2,http://113.195.44.106:9901/tsfile/live/1033_1.m3u8
山东教育卫视,http://113.195.44.106:9901/tsfile/live/1080_1.m3u8
厦门卫视,http://113.195.44.106:9901/tsfile/live/0129_1.m3u8#http://home2.neumantang.com:8888/udp/239.0.0.194:5140
三沙卫视,http://113.195.44.106:9901/tsfile/live/1078_1.m3u8#http://home2.neumantang.com:8888/udp/239.0.0.195:5140
卡酷酷通,http://113.195.44.106:9901/tsfile/live/1079_1.m3u8
东方财经,http://113.195.44.106:9901/tsfile/live/1081_1.m3u8
动漫秀场,http://113.195.44.106:9901/tsfile/live/1082_1.m3u8
中国天气,http://113.195.44.106:9901/tsfile/live/1083_1.m3u8
欢笑剧场,http://113.195.44.106:9901/tsfile/live/1084_1.m3u8
风云剧场,http://113.195.44.106:9901/tsfile/live/1085_1.m3u8
四海钓鱼,http://113.195.44.106:9901/tsfile/live/1091_1.m3u8
武术世界,http://113.195.44.106:9901/tsfile/live/1087_1.m3u8
梨园频道,http://113.195.44.106:9901/tsfile/live/1088_1.m3u8

📡电视-移动网,#genre#
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7军事·农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8#http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8#http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
三沙卫视,http://61.138.128.226:19901/tsfile/live/1020_1.m3u8#https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
香港卫视,https://epg.pw/stream/99980f8e82d6d4111c77f2fe961013e7d1ee153a55c7a9be69cfa17143933fd1.m3u8

🎬影视频道,#genre#
邵氏影院,https://fmbox.cc/公众号玉玉软件库/tv/douyu.php?id=4246519
邵氏影院,http://159.75.85.63:35455/douyu/4246519
邵氏影院,http://epg.112114.xyz/douyu/4246519
邵氏影院,http://43.138.170.29:35455/douyu/4246519
神乐电影,https://fmbox.cc/公众号玉玉软件库/tv/douyu.php?id=85894
神乐电影,http://159.75.85.63:35455/douyu/85894
神乐电影,http://epg.112114.xyz/douyu/85894
神乐影院,https://fmbox.cc/公众号玉玉软件库/tv/douyu.php?id=122402
神乐影院,http://159.75.85.63:35455/douyu/122402
神乐影院,http://epg.112114.xyz/douyu/122402
漫威影片,https://fmbox.cc/公众号玉玉软件库/tv/douyu.php?id=6140589
漫威影片,http://159.75.85.63:35455/douyu/6140589
漫威影片,http://epg.112114.xyz/douyu/6140589
霍格影片,https://fmbox.cc/公众号玉玉软件库/tv/douyu.php?id=8814650
霍格影片,http://159.75.85.63:35455/douyu/8814650
霍格影片,http://epg.112114.xyz/douyu/8814650
吃米滴虫,https://fmbox.cc/公众号玉玉软件库/tv/douyu.php?id=315457
吃米滴虫,http://159.75.85.63:35455/douyu/315457
吃米滴虫,http://epg.112114.xyz/douyu/315457
瑶瑶恐怖,https://fmbox.cc/公众号玉玉软件库/tv/douyu.php?id=2935323
瑶瑶恐怖,http://159.75.85.63:35455/douyu/2935323
瑶瑶恐怖,http://epg.112114.xyz/douyu/2935323
怡宝影院,https://fmbox.cc/公众号玉玉软件库/tv/douyu.php?id=434971
怡宝影院,http://159.75.85.63:35455/douyu/434971
怡宝影院,http://epg.112114.xyz/douyu/434971
国产影院,https://fmbox.cc/公众号玉玉软件库/tv/douyu.php?id=5423
国产影院,http://159.75.85.63:35455/douyu/5423
国产影院,http://epg.112114.xyz/douyu/5423
冰冰经典,https://fmbox.cc/公众号玉玉软件库/tv/douyu.php?id=74374
冰冰经典,http://159.75.85.63:35455/douyu/74374
冰冰经典,http://epg.112114.xyz/douyu/74374
星爷影院,https://fmbox.cc/公众号玉玉软件库/tv/douyu.php?id=508118
星爷影院,http://159.75.85.63:35455/douyu/508118
星爷影院,http://epg.112114.xyz/douyu/508118
凌儿影院,https://fmbox.cc/公众号玉玉软件库/tv/douyu.php?id=1377142
凌儿影院,http://159.75.85.63:35455/douyu/1377142
凌儿影院,http://epg.112114.xyz/douyu/1377142
萌小鬼片,https://fmbox.cc/公众号玉玉软件库/tv/douyu.php?id=3928
